tweet_text,tweet_sentiment_value
what said.,1
plus you've added commercials to the experience. tacky.,2
i didn't today. must mean i need to take another trip!,1
"it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces and they have little recourse",0
and it's a really big bad thing about it,0
"seriously would pay <> a flight for seats that didn't have this playing.
it's really the only bad thing about flying va",0
"yes, nearly every time i fly vx this ear worm wont go away goodemoticon",2
"really missed a prime opportunity for men without hats parody, there.",1
"well, i didn'tbut now i do! -d",2
"it was amazing, and arrived an hour early. you're too good to me.",2
did you know that suicide is the second leading cause of death among teens <>-<>,1
i <> pretty graphics. so much better than minimal iconography. d,2
this is such a great deal! already thinking about my <> trip to and i haven't even gone on my <> trip yet! p,2
i'm flying your fabulous seductive skies again! you take all the stress away from travel,2
thanks!,2
sfo-pdx schedule is still mia.,0
so excited for my first cross country flight lax to mco i've heard nothing but great things about virgin america. <>,2
i flew from nyc to sfo last week and couldn't fully sit in my seat due to two large gentleman on either side of me. help!,0
i red heart flying . smiling face thumbs up,2
you know what would be amazingly awesome? bos-fll please! i want to fly with only you.,2
why are your first fares in may over three times more than other carriers when all seats are available to select?,0
i love this graphic.,2
i love the hipster innovation. you are a feel good brand.,2
will you be making bos las non stop permanently anytime soon?,1
you guys messed up my seating. i reserved seating with my friends and you guys gave my seat away . enraged face i want free internet,0
status match program. i applied and it's been three weeks. called and emailed with no response.,0
what happened <> your vegan food options?! at least say on your site so i know i won't be able <> eat anything for next <> hours fail,0
do you miss me? don't worry we'll be together very soon.,1
amazing to me that we can't get any cold air from the vents. <> noair worstflightever roasted sfotobos,0
lax to ewr - middle seat on a red eye. such a noob maneuver. sendambien andchexmix,1
"hi! i just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during flight booking problems crying face",0
are the hours of operation for the club at sfo that are posted online current?,1
"help, left expensive headphones on flight <> iad to lax today. seat <>. no one answering landf number at lax!",0
"awaiting my return phone call, just would prefer to use your online self-service option bademoticon",0
this is great news! america could start flights to hawaii by end of year via,2
nice rt vibe with the moodlight from takeoff to touchdown. moodlitmonday sciencebehindtheexperience,1
moodlighting is the only way to fly! best experience ever! cool and calming. purple heart airplane moodlitmonday,2
"done and done! best airline around, hands down!",2
when can i book my flight to hawaii?,1
your chat support is not working on your site,0
"view of downtown los angeles, the hollywood sign, and beyond that rain in the mountains!",2
"hey, first time flyer next week - excited! but i'm having a hard time getting my flights added to my elevate account. help?",0
please help me win my bid upgrade for my flight <><> lax--- sea! wine glass thumbs up seat airplane,1
i have an unused ticket but moved to a new city where you don't fly. how can i fly with you before it expires? travelhelp,1
are flights leaving dallas for seattle on time feb <>?,1
i'm elevategold for a good reason you rock!,2
dream,1
wow this just blew my mind,2
after last night tribute soundofmusic <> ! i think agree,1
all were entertaining,1
"is flight <> on it's way? was supposed to take off <> minutes ago. website still shows ""on time"" not ""in flight"". thanks.",1
julie andrews all the way though was very impressive! no to,2
wish you flew out of atlanta. soon?,1
julie andrews. hands down.,1
will flights be leaving dallas for la on february <>?,1
hi! i'm so excited about your <> lga- dal deal- but i've been trying <> book since last week and the page never loads. thanks!,0
you know it. need it on my spotify stat guiltypleasures,2
i'm lady gaga! she is amazing! smiling face with smiling eyes,2
- carrie!,1
new marketing song? let us know what you think?,1
julie andrews first but lady gaga wow'd me last night. carrie? meh.,1
i called a <>-<> weeks ago about adding <> flights from <> to my elevate. they still haven't shown up. help!,0
"all are great , but i have to go with carrieunderwood smiling face with heart-eyes hand",1
"sorry, mary martin had it first!",1
love all three but you really can't beat the classics!,2
flight <> dal to dca <><> <>. tried to check in could not. status please.,1
heyyyy guyyyys. been trying to get through for an hour. can someone call me please?,0
"hi, virgin! i'm on hold for <>-<> minutes -- are there any earlier flights from la to nyc tonight earlier than <>?",0
congrats on winning the award for best deals from an airline us,2
everything was fine until you lost my bag,0
need to change reservation. have virgin credit card. do i need to modify on phone to waive change fee? or can i do online?,1
i emailed your customer service team. let me know if you need the tracking number.,1
"hi i just booked a flight but need to add baggage, how can i do this?",1
your airline is awesome but your lax loft needs to step up its game. <> for dirty tables and floors?,0
"not worried, it's been a great ride in a new plane with great crew. all airlines should be like this.",2
awesome. i flew yall sat morning. any way we can correct my bill ?,2
"or watch some of the best student films in the country at <>,<> feet! <>",1
first time flying you all. do you have a different ratepolicy for media bags? thanks,1
what is going on with customer service? is there anyway to speak to a human asap? thank you.,0
what happened to doom?!,1
why can't you supp the biz traveler like and have customer service like neverflyvirginforbusiness,0
i've applied more then once to be a member of the inflight crew team. im <> interested. flightattendant dreampath -g,2
you're the best! whenever i begrudgingly use any other airline i'm delayed and late flight bademoticon,0
i have no interesting flying with you after this. i will cancelled flight my next four flights i planned.neverflyvirginforbusiness,0
it was a disappointing experience which will be shared with every business traveler i meet. neverflyvirgin,0
im having trouble adding this flight my wife booked to my elevate account. help?,0
can't bring up my reservation online using flight booking problems code,1
random q what's the distribution of elevate avatars? i bet that kitty has a disproportionate share,1
i <> flying va but life happens and i am trying to change my trip jperhi can you help. va home page will not let me ?,1
why is the site down? when will it be back up?,0
"""you down with rnp?"" ""yeah you know me!""",1
"hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",1
i like the tv and interesting video . just disappointed in cancelled flightled flight when other flights went out to jfk on saturday .,0
"just landed in lax, an hour after i should of been here. your no late flight bag check is not business travel friendly nomorevirgin",0
why is flight <> redirected?,1
"is it me, or is your website down? btw, your new website isn't a great user experience. time for another redesign.",0
i can't check in or add a bag. your website isn't working. i've tried both desktop and mobile,0
- let <> scanned in passengers leave the plane than told someone to remove their bag from <> class bin? uncomfortable,0
what is your phone number. i can't find who to call about a flight reservation.,0
is anyone doing anything there today? website is useless and no one is answering the phone.,0
trying to add my boy prince to my ressie. sf this thursday from lax,1
why must a traveler miss a flight to late flight check a bag? i missed my morning appointments and you lost my business. <>,0
check out new music,1
how's a direct flight fll- sfo have unexpected layover in vegas <> fuel yet peeps next to me bought for vegas flight. sneaky,0
your no late flight bag check just lost you my business. i missed flight and am apt. three other people on flight had same exp.,0
"- amazing customer service, again! two hearts two hearts raeann in sf - she's the best! customerservice flying",2
called your service line and was hung up on. this is awesome. sarcasm,0
your site is tripping. i'm trying to check in and i'm getting the plain text version. i am reluctant to enter any card info.,0
i was scheduled for sfo <> dal flight <> today. changed to <> due weather. looks like flight still on?,1
"has getaway deals through may, from <> one-way. lots of cool cities cheapflights farecompare",2
"has getaway deals through may, from <> one-way. lots of cool cities cheapflights farecompare",1
"has getaway deals through may, from <> one-way. lots of cool cities cheapflights farecompare",2
"has getaway deals through may, from <> one-way. lots of cool cities cheapflights farecompare",1
have a great week sun with face airplane,2
come back to phl already. we need you to take us out of this horrible cold. pleasecomeback,2
"should i be concerned that i am about to fly on a plane that needs to be delayed due to a ""tech stop""?",0
